Date,Timestamp,Invoice No.,Item Name,Price,Qty.,Sub Total,Discount,Tax,Final Total,Table No.,Server Name,Covers,Variation,Category,HSN
2023-04-01,2023-04-01 13:16:03,23465,Babycorn Manchurian,160.0,1.0,160.0,0.0,8.0,168.0,20.0,biller,0,,Veg Starters,
2023-04-01,2023-04-01 13:16:03,23465,Chicken Kati Roll,120.0,1.0,120.0,0.0,6.0,126.0,20.0,biller,0,,NON VEG STARTERS CHICKEN,
2023-04-01,2023-04-01 13:16:03,23465,Paneer Butter Masala,150.0,2.0,300.0,0.0,15.0,315.0,20.0,biller,0,,Veg Gravy,
2023-04-01,2023-04-01 13:16:03,23465,Pulka (2 No),40.0,3.0,120.0,0.0,6.0,126.0,20.0,biller,0,,Indian Breads,
2023-04-01,2023-04-01 13:16:03,23465,Schewan  Chicken Fried Rice,160.0,1.0,160.0,0.0,8.0,168.0,20.0,biller,0,,NON VEG BRIYANI & RICE,
2023-04-01,2023-04-01 13:16:03,23465,Schezwan Egg Fried Rice,140.0,1.0,140.0,0.0,7.0,147.0,20.0,biller,0,,NON VEG BRIYANI & RICE,
2023-04-01,2023-04-01 13:16:03,23465,Soft Drink 600ml,40.0,2.0,80.0,0.0,4.0,84.0,20.0,biller,0,,Deserts & Mocktails,
2023-04-01,2023-04-01 13:32:21,23466,Chocolate Milk Shake,110.0,1.0,110.0,0.0,5.5,115.5,4.0,biller,0,,Deserts & Mocktails,
2023-04-01,2023-04-01 13:32:21,23466,Chocolate Milk Shake,110.0,1.0,110.0,0.0,5.5,115.5,4.0,biller,0,,Deserts & Mocktails,
2023-04-01,2023-04-01 13:32:21,23466,Mineral Water,20.0,2.0,40.0,0.0,2.0,42.0,4.0,biller,0,,Deserts & Mocktails,
2023-04-01,2023-04-01 13:32:21,23466,Schezwan Paneer Fried Rice,160.0,1.0,160.0,0.0,8.0,168.0,4.0,biller,0,,VEG BIRYANI & RICE,
2023-04-01,2023-04-01 13:42:54,23467,Chicken Biriyani With Raitha And Gravy,160.0,2.0,320.0,0.0,16.0,336.0,2.0,biller,0,,NON VEG BRIYANI & RICE,
2023-04-01,2023-04-01 13:42:54,23467,Fish 65,199.0,1.0,199.0,0.0,9.94,208.94,2.0,biller,0,,NON VEG STARTERS FISH,
2023-04-01,2023-04-01 13:42:54,23467,Mineral Water,20.0,1.0,20.0,0.0,1.0,21.0,2.0,biller,0,,Deserts & Mocktails,
2023-04-01,2023-04-01 13:42:54,23467,Prawn Pepper Fry,199.0,1.0,199.0,0.0,9.94,208.94,2.0,biller,0,,NON VEG STARTERS FISH,
2023-04-01,2023-04-01 14:02:03,23468,"Plain Briyani With Raitha, Gravy.",130.0,2.0,260.0,0.0,13.0,273.0,50.0,biller,0,,VEG BIRYANI & RICE,
2023-04-01,2023-04-01 14:11:01,23469,Chicken Biriyani With Raitha And Gravy,160.0,1.0,160.0,32.0,6.4,134.4,15.0,biller,0,,NON VEG BRIYANI & RICE,
2023-04-01,2023-04-01 14:11:01,23469,Egg Fried Rice,140.0,1.0,140.0,28.0,5.6,117.6,15.0,biller,0,,NON VEG BRIYANI & RICE,
2023-04-01,2023-04-01 14:11:01,23469,Kozhi Malliperattal,170.0,1.0,170.0,34.0,6.8,142.8,15.0,biller,0,,NON VEG STARTERS CHICKEN,
2023-04-01,2023-04-01 14:11:01,23469,Mint Lemon Juice,40.0,2.0,80.0,16.0,3.2,67.2,15.0,biller,0,,Deserts & Mocktails,
2023-04-01,2023-04-01 14:21:54,23470,Chicken Biriyani With Raitha And Gravy,160.0,1.0,160.0,0.0,8.0,168.0,13.0,biller,0,,NON VEG BRIYANI & RICE,
2023-04-01,2023-04-01 14:21:54,23470,Chicken Kati Roll,120.0,2.0,240.0,0.0,12.0,252.0,13.0,biller,0,,NON VEG STARTERS CHICKEN,
2023-04-01,2023-04-01 14:21:54,23470,Fresh Lemon Juice,35.0,3.0,105.0,0.0,5.26,110.26,13.0,biller,0,,Deserts & Mocktails,
2023-04-01,2023-04-01 14:21:54,23470,Mineral Water,20.0,1.0,20.0,0.0,1.0,21.0,13.0,biller,0,,Deserts & Mocktails,
2023-04-01,2023-04-01 14:21:54,23470,Singapore Noodles Veg,130.0,1.0,130.0,0.0,6.5,136.5,13.0,biller,0,,VEG BIRYANI & RICE,
2023-04-01,2023-04-01 14:26:13,23471,Chicken Noodles,160.0,1.0,160.0,0.0,8.0,168.0,14.0,biller,0,,NON VEG BRIYANI & RICE,
2023-04-01,2023-04-01 14:26:13,23471,Prawn 65,199.0,1.0,199.0,0.0,9.94,208.94,14.0,biller,0,,NON VEG STARTERS FISH,
2023-04-01,2023-04-01 14:26:13,23471,Veg Fried Rice,130.0,1.0,130.0,0.0,6.5,136.5,14.0,biller,0,,VEG BIRYANI & RICE,
2023-04-01,2023-04-01 14:31:38,23472,Chicken 65,160.0,1.0,160.0,0.0,8.0,168.0,3.0,biller,0,,NON VEG STARTERS CHICKEN,
2023-04-01,2023-04-01 14:31:38,23472,Egg Fried Rice,140.0,1.0,140.0,0.0,7.0,147.0,3.0,biller,0,,NON VEG BRIYANI & RICE,
2023-04-01,2023-04-01 14:31:38,23472,Egg Pepper Fry,60.0,1.0,60.0,0.0,3.0,63.0,3.0,biller,0,,NON VEG STARTERS EGG,
2023-04-01,2023-04-01 14:31:38,23472,Kalaki,30.0,1.0,30.0,0.0,1.5,31.5,3.0,biller,0,,NON VEG STARTERS EGG,
2023-04-01,2023-04-01 14:31:38,23472,Mineral Water,20.0,1.0,20.0,0.0,1.0,21.0,3.0,biller,0,,Deserts & Mocktails,
2023-04-01,2023-04-01 14:31:38,23472,Soft Drink 600ml,40.0,1.0,40.0,0.0,2.0,42.0,3.0,biller,0,,Deserts & Mocktails,
2023-04-01,2023-04-01 14:31:49,23473,Chicken Biriyani With Raitha And Gravy,160.0,1.0,160.0,0.0,8.0,168.0,2.0,biller,0,,NON VEG BRIYANI & RICE,
2023-04-01,2023-04-01 14:31:49,23473,Kumpo Chicken,190.0,1.0,190.0,0.0,9.5,199.5,2.0,biller,0,,NON VEG STARTERS CHICKEN,
2023-04-01,2023-04-01 14:31:49,23473,Mineral Water,20.0,1.0,20.0,0.0,1.0,21.0,2.0,biller,0,,Deserts & Mocktails,
2023-04-01,2023-04-01 14:31:49,23473,Soft Drink 600ml,40.0,1.0,40.0,0.0,2.0,42.0,2.0,biller,0,,Deserts & Mocktails,
2023-04-01,2023-04-01 14:32:01,23474,Paneer Butter Masala,150.0,1.0,150.0,0.0,7.5,157.5,4.0,biller,0,,Veg Gravy,
2023-04-01,2023-04-01 14:32:01,23474,Romali Roti (1 No),40.0,2.0,80.0,0.0,4.0,84.0,4.0,biller,0,,Indian Breads,
2023-04-01,2023-04-01 16:23:50,23475,Fresh Lemon Juice,35.0,1.0,35.0,0.0,1.76,36.76,1.0,biller,0,,Deserts & Mocktails,
2023-04-01,2023-04-01 16:25:51,23476,Babycorn Manchurian,160.0,1.0,160.0,16.0,7.2,151.2,3.0,biller,0,,Veg Starters,
2023-04-01,2023-04-01 16:25:51,23476,Egg Noodles,140.0,1.0,140.0,14.0,6.3,132.3,3.0,biller,0,,NON VEG BRIYANI & RICE,
2023-04-01,2023-04-01 16:25:51,23476,Lemon Soda,45.0,3.0,135.0,13.5,6.08,127.58,3.0,biller,0,,Deserts & Mocktails,
2023-04-01,2023-04-01 16:25:51,23476,Veg Fried Rice,130.0,2.0,260.0,26.0,11.7,245.7,3.0,biller,0,,VEG BIRYANI & RICE,
2023-04-01,2023-04-01 16:40:01,23477,Chicken 65,160.0,1.0,160.0,0.0,8.0,168.0,2.0,biller,0,,NON VEG STARTERS CHICKEN,
2023-04-01,2023-04-01 16:40:01,23477,Chocolate Scoop,80.0,1.0,80.0,0.0,4.0,84.0,2.0,biller,0,,Deserts & Mocktails,
2023-04-01,2023-04-01 16:40:01,23477,Fresh Lemon Juice,35.0,2.0,70.0,0.0,3.5,73.5,2.0,biller,0,,Deserts & Mocktails,
2023-04-01,2023-04-01 16:40:01,23477,Gobi- 65,120.0,2.0,240.0,0.0,12.0,252.0,2.0,biller,0,,Veg Starters,
2023-04-01,2023-04-01 18:02:47,23478,Fresh Lemon Juice,35.0,1.0,35.0,0.0,1.76,36.76,10.0,biller,0,,Deserts & Mocktails,
2023-04-01,2023-04-01 18:02:47,23478,Mushroom Pulao,140.0,1.0,140.0,0.0,7.0,147.0,10.0,biller,0,,VEG BIRYANI & RICE,
2023-04-01,2023-04-01 19:20:48,23479,Mineral Water,20.0,1.0,20.0,0.5,0.98,20.48,50.0,biller,0,,Deserts & Mocktails,
2023-04-01,2023-04-01 19:48:58,23480,Kozhi Milaghuperattal,160.0,1.0,160.0,0.0,8.0,168.0,50.0,biller,0,,NON VEG STARTERS CHICKEN,
2023-04-01,2023-04-01 19:48:58,23480,Prawn Fried Rice,170.0,1.0,170.0,0.0,8.5,178.5,50.0,biller,0,,NON VEG BRIYANI & RICE,
2023-04-01,2023-04-01 19:58:25,23481,Blue Lagoon,99.0,1.0,99.0,0.0,4.96,103.96,8.0,biller,0,,Deserts & Mocktails,
2023-04-01,2023-04-01 19:58:25,23481,Butterscotch Milk Shake,110.0,1.0,110.0,0.0,5.5,115.5,8.0,biller,0,,Deserts & Mocktails,
2023-04-01,2023-04-01 20:08:22,23482,French Fries,100.0,1.0,100.0,0.0,5.0,105.0,9.0,biller,0,,Veg Starters,
2023-04-01,2023-04-01 20:08:22,23482,Veg Fried Rice,130.0,1.0,130.0,0.0,6.5,136.5,9.0,biller,0,,VEG BIRYANI & RICE,
2023-04-01,2023-04-01 20:10:43,23483,Mineral Water,20.0,1.0,20.0,0.0,1.0,21.0,49.0,biller,0,,Deserts & Mocktails,
2023-04-01,2023-04-01 20:14:07,23484,Pepper Garlic Chicken Soup,90.0,1.0,90.0,0.0,4.5,94.5,7.0,biller,0,,Non Veg Soup,
2023-04-01,2023-04-01 20:30:19,23485,Chicken Fried Rice,160.0,1.0,160.0,0.0,8.0,168.0,13.0,biller,0,,NON VEG BRIYANI & RICE,
2023-04-01,2023-04-01 20:30:19,23485,Thandoor Chicken Half,199.0,1.0,199.0,0.0,9.94,208.94,13.0,biller,0,,Non Veg Tandoor,
2023-04-01,2023-04-01 20:41:35,23486,Tandoor Chicken ( Quarter),100.0,1.0,100.0,0.0,5.0,105.0,22.0,biller,0,,Non Veg Tandoor,
2023-04-01,2023-04-01 21:23:45,23487,Chicken Fried Rice,160.0,1.0,160.0,24.0,6.8,142.8,50.0,biller,0,,NON VEG BRIYANI & RICE,
2023-04-01,2023-04-01 21:23:45,23487,Chicken Noodles,160.0,1.0,160.0,24.0,6.8,142.8,50.0,biller,0,,NON VEG BRIYANI & RICE,
2023-04-01,2023-04-01 21:23:45,23487,Dragon Chicken,190.0,1.0,190.0,28.5,8.08,169.58,50.0,biller,0,,NON VEG STARTERS CHICKEN,
2023-04-01,2023-04-01 21:23:45,23487,Manchow Chicken Soup,90.0,1.0,90.0,13.5,3.82,80.32,50.0,biller,0,,Non Veg Soup,
